obs,off_lambda,off_beta,r,rms
1,52.904125213623,-56.510192871094,77.409614562988,120.90702056885
2,39.26927947998,-56.510192871094,68.814811706543,94.722007751465
3,25.634431838989,-56.510192871094,62.05260848999,66.620979309082
4,11.99958896637,-56.510192871094,57.770164489746,63.762657165527
5,-1.6352568864822,-56.510192871094,56.533847808838,64.709648132324
6,-15.270102500916,-56.510192871094,58.536979675293,62.980407714844
7,-28.904949188232,-56.510192871094,63.473602294922,73.001609802246
8,-42.539791107178,-56.510192871094,70.732139587402,152.21295166016
9,-56.17463684082,-42.875347137451,70.667427062988,73.044052124023
10,-42.539791107178,-42.875347137451,60.398090362549,139.35792541504
11,-28.904949188232,-42.875347137451,51.708717346191,70.315704345703
12,-15.270102500916,-42.875347137451,45.51342010498,63.096122741699
13,-1.6352568864822,-42.875347137451,42.906520843506,59.883220672607
14,11.99958896637,-42.875347137451,44.52286529541,58.636337280273
15,25.634431838989,-42.875347137451,49.954174041748,60.025650024414
16,39.26927947998,-42.875347137451,58.140964508057,86.543464660645
17,52.904125213623,-42.875347137451,68.096565246582,115.59307098389
18,52.904125213623,-29.240501403809,60.447113037109,74.331352233887
19,39.26927947998,-29.240501403809,48.960018157959,55.188045501709
20,25.634431838989,-29.240501403809,38.886127471924,35.436264038086
21,11.99958896637,-29.240501403809,31.606914520264,29.513889312744
22,-1.6352568864822,-29.240501403809,29.286191940308,30.547039031982
23,-15.270102500916,-29.240501403809,32.987617492676,30.730491638184
24,-28.904949188232,-29.240501403809,41.115726470947,38.117328643799
25,-42.539791107178,-29.240501403809,51.62015914917,65.247917175293
26,-56.17463684082,-29.240501403809,63.329273223877,71.99006652832
27,-56.17463684082,-15.605655670166,58.302024841309,60.681217193604
28,-42.539791107178,-15.605655670166,45.311923980713,55.452522277832
29,-28.904949188232,-15.605655670166,32.8486328125,33.068138122559
30,-15.270102500916,-15.605655670166,21.83374786377,29.395755767822
31,-1.6352568864822,-15.605655670166,15.691098213196,32.056182861328
32,11.99958896637,-15.605655670166,19.685695648193,27.221206665039
33,25.634431838989,-15.605655670166,30.01100730896,28.123460769653
34,39.26927947998,-15.605655670166,42.256511688232,49.499954223633
35,52.904125213623,-15.605655670166,55.15779876709,106.94790649414
36,52.904125213623,-1.9708104133606,52.940822601318,86.531806945801
37,39.26927947998,-1.9708104133606,39.318702697754,53.057239532471
38,25.634431838989,-1.9708104133606,25.710079193115,32.127304077148
39,11.99958896637,-1.9708104133606,12.160354614258,29.172693252563
40,-1.6352568864822,-1.9708104133606,2.5608901977539,40.858997344971
41,-15.270102500916,-1.9708104133606,15.396757125854,40.305168151855
42,-28.904949188232,-1.9708104133606,28.972059249878,32.47061920166
43,-42.539791107178,-1.9708104133606,42.585418701172,67.798187255859
44,-56.17463684082,-1.9708104133606,56.209197998047,73.271217346191
45,-56.17463684082,11.664034843445,57.37281036377,54.907405853271
46,-42.539791107178,11.664034843445,44.109901428223,49.146186828613
47,-28.904949188232,11.664034843445,31.169630050659,28.215887069702
48,-15.270102500916,11.664034843445,19.21524810791,32.390064239502
49,-1.6352568864822,11.664034843445,11.778105735779,35.668960571289
50,11.99958896637,11.664034843445,16.734390258789,27.112771987915
51,25.634431838989,11.664034843445,28.163341522217,30.014234542847
52,39.26927947998,11.664034843445,40.964935302734,58.931518554687
53,52.904125213623,11.664034843445,54.174682617187,74.54662322998
54,52.904125213623,25.298879623413,58.64196395874,63.454204559326
55,39.26927947998,25.298879623413,46.713054656982,51.86994934082
56,25.634431838989,25.298879623413,36.01607131958,31.888269424438
57,11.99958896637,25.298879623413,28.000419616699,30.945688247681
58,-1.6352568864822,25.298879623413,25.351673126221,32.393135070801
59,-15.270102500916,25.298879623413,29.550115585327,31.954917907715
60,-28.904949188232,25.298879623413,38.412620544434,31.601463317871
61,-42.539791107178,25.298879623413,49.494113922119,60.843486785889
62,-56.17463684082,25.298879623413,61.608627319336,68.268630981445
63,-56.17463684082,38.933723449707,68.34782409668,78.140991210937
64,-42.539791107178,38.933723449707,57.666877746582,75.068328857422
65,-28.904949188232,38.933723449707,48.490524291992,51.078182220459
66,-15.270102500916,38.933723449707,41.821178436279,41.124851226807
67,-1.6352568864822,38.933723449707,38.968048095703,47.374557495117
68,11.99958896637,38.933723449707,40.740947723389,51.45580291748
69,25.634431838989,38.933723449707,46.615009307861,57.511608123779
70,39.26927947998,38.933723449707,55.29838180542,78.016975402832
71,52.904125213623,38.933723449707,65.686233520508,101.80116271973
72,39.26927947998,52.56856918335,65.616546630859,107.9174118042
73,25.634431838989,52.56856918335,58.48571395874,60.001342773437
74,11.99958896637,52.56856918335,53.920726776123,76.019233703613
75,-1.6352568864822,52.56856918335,52.593997955322,76.028602600098
76,-15.270102500916,52.56856918335,54.7414894104,58.403911590576
77,-28.904949188232,52.56856918335,59.99125289917,54.885192871094
78,-42.539791107178,52.56856918335,67.624610900879,87.71915435791
79,-56.17463684082,52.56856918335,76.935325622559,91.532485961914
